5582,-3255,-10771,-3674,10721,815,840,0,-80,-274,-2,298,310,1505,217,2868
5599,-3024,-10772,-3850,10726,822,875,0,-84,-294,-4,322,302,1552,226,2634
5616,3010,-10666,-4008,10627,833,906,0,-85,-300,-6,329,311,1410,231,2476
5633,2944,-10543,-3954,10467,855,927,0,-82,-329,-7,356,293,1402,229,2538
5654,3145,-10718,-4196,10595,875,990,0,-75,-348,-11,380,289,1361,229,2140
5671,3094,-10709,-4152,10599,895,1012,0,-68,-372,-9,400,297,1334,245,2514
5688,3058,-10406,-4092,10304,895,1012,0,-67,-382,-11,408,274,1310,214,2362
5719,3069,-10434,-4240,10193,922,1068,0,-60,-412,-11,455,206,1032,192,1765
5736,-3028,-10403,-4078,10056,952,1081,0,-57,-437,-11,476,193,969,189,1628
5754,-3445,-10476,-4024,9812,983,1094,-147,-58,-456,-12,488,152,675,165,1860
5775,-3925,-10511,-3730,9731,1027,1095,-217,-64,-465,-10,508,150,751,167,1358
5792,-3970,-10626,-3741,9806,1048,1116,-217,-68,-476,-6,516,155,795,154,1303
5810,-4801,-11081,-3328,10001,1127,1123,-314,-73,-484,-1,526,210,1128,176,1414
5827,-5096,-11152,-3167,9976,1164,1128,-359,-77,-488,-1,533,240,1285,194,1392
5880,-6129,-11551,3314,10622,1319,1137,-539,-100,-538,8,548,405,2057,241,1287
5901,-6112,-11550,3336,10605,1348,1148,-572,-112,-573,16,566,417,2047,245,1337
5929,-5666,-11549,3113,10870,1360,1180,-572,-122,-603,18,582,401,1884,244,1836
5961,-4677,-11547,-3425,11256,1358,1273,-542,-138,-653,22,620,397,1820,247,2222
5978,-4655,-11546,-3450,11131,1377,1296,-565,-146,-663,20,640,384,1848,220,2939
5996,-4305,-11545,-3723,11215,1381,1336,-557,-151,-674,20,656,399,1853,235,2928
6013,-3391,-11544,-4400,11347,1352,1407,-516,-157,-684,13,674,392,1760,265,3054
6034,-3317,-11544,-4456,11304,1362,1438,-524,-159,-708,-2,699,414,1676,303,4312
6052,3614,-11542,-5454,10956,1292,1527,-471,-155,-719,-13,710,385,1578,268,3930
6070,3963,-11378,-5688,10571,1262,1552,-463,-148,-730,-21,717,347,1477,264,3113
6087,4395,-11087,-6000,10281,1227,1580,-450,-131,-740,-36,724,299,1272,245,2326
6108,5009,-10725,-6417,9983,1171,1622,-417,-121,-746,-44,729,241,960,219,1956
6126,6108,-10402,-7351,9611,1072,1689,-368,-103,-755,-60,730,209,791,219,1532
6178,6579,-9200,-7591,8383,979,1744,-335,-63,-748,-98,728,192,433,256,743
6199,6350,-9099,-7497,8142,960,1755,-353,-32,-743,-124,720,188,345,271,608
6217,6034,-8981,-7316,7896,947,1762,-374,-19,-737,-146,718,188,299,254,483
6234,6189,-8968,-7481,7815,911,1781,-378,-7,-734,-164,715,166,267,247,413
6251,5737,-6999,-6705,5922,852,1743,-421,0,-731,-174,715,162,240,247,362
6269,5116,-5802,-6088,4594,823,1691,-462,18,-726,-188,708,128,173,225,258
6289,5070,-6265,-6302,4825,826,1722,-491,26,-717,-202,702,102,118,193,190
6342,4713,-8237,-6597,6363,874,1799,-667,32,-698,-213,690,92,129,187,131
6359,4383,-8507,-6457,6495,885,1793,-722,30,-691,-214,684,90,147,175,158
6377,4311,-8881,-6521,6771,890,1792,-771,29,-684,-213,678,96,164,164,169
6398,4196,-8294,-6382,6115,860,1739,-812,27,-681,-210,673,98,189,174,172
6415,4149,-8380,-6418,6121,859,1740,-858,24,-676,-206,669,91,197,177,159
6457,4249,-8917,-6749,6469,850,1744,-976,24,-674,-204,666,84,206,183,204
6474,4478,-9159,-6909,6796,850,1744,-976,22,-668,-191,654,85,209,174,205
6506,4329,-9415,-7069,6818,854,1741,-1109,20,-666,-184,644,87,255,208,170
6559,5014,-9674,-7641,7201,815,1760,-1151,17,-661,-185,626,121,341,269,273
6576,5047,-9727,-7617,7336,815,1760,-1151,16,-661,-189,620,137,356,272,308
6594,5065,-9776,-7580,7461,815,1760,-1151,18,-658,-193,612,127,387,261,367
6615,5067,-9828,-7527,7590,815,1760,-1151,20,-656,-201,605,140,400,265,302
6632,5053,-9858,-7475,7677,815,1760,-1151,20,-656,-200,604,145,407,277,276
6660,5011,-9898,-7372,7805,815,1760,-1151,28,-655,-215,589,153,431,258,287
6692,4942,-9919,-7245,7932,815,1760,-1151,35,-660,-223,577,141,413,248,305
